FID,SRC_AGENCY,FIRE_ID,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,OUT_DATE,SIZE_HA,CAUSE,ECOZONE,ECOZ_REF,ECOZ_NAME,ECOZ_NOM
370606,QC,20201080394,49.7848,-68.0277,2020,6,16,2020-06-16 00:00:00,2020-06-21 00:00:00,4.7,H,6,6b,Boreal Shield East,Bouclier bordal
370607,QC,20201080395,49.6073,-71.5166,2020,6,16,2020-06-16 00:00:00,2020-08-17 00:00:00,50891.5,H,6,6b,Boreal Shield East,Bouclier bordal
370608,QC,20201080396,47.2055,-73.24559999999998,2020,6,14,2020-06-14 00:00:00,2020-06-16 00:00:00,0.1,H,6,6b,Boreal Shield East,Bouclier bordal
370609,QC,20201080397,48.6629,-69.9866,2020,6,16,2020-06-16 00:00:00,2020-06-17 00:00:00,0.0,H,6,6b,Boreal Shield East,Bouclier bordal
370610,QC,20201080398,46.1533,-72.1825,2020,6,16,2020-06-16 00:00:00,2020-06-26 00:00:00,39.0,H,8,8,MixedWood Plain,Plaines d forits mixtes
370611,QC,20201080399,45.4645,-72.3763,2020,6,16,2020-06-16 00:00:00,2020-06-16 00:00:00,0.5,H,7,7,Atlantic Maritime,Maritime de l'Atlantique
370612,QC,20201080400,45.5607,-73.1755,2020,6,17,2020-06-17 00:00:00,2020-06-17 00:00:00,0.0,H,8,8,MixedWood Plain,Plaines d forits mixtes
370613,QC,20201080401,48.8502,-67.4465,2020,6,16,2020-06-16 00:00:00,2020-06-17 00:00:00,0.0,H,7,7,Atlantic Maritime,Maritime de l'Atlantique
370614,QC,20201080402,46.0576,-73.7543,2020,6,17,2020-06-17 00:00:00,2020-06-17 00:00:00,0.0,H,6,6b,Boreal Shield East,Bouclier bordal
370615,QC,20201080403,50.4533,-75.4723,2020,6,17,2020-06-17 00:00:00,2020-06-18 00:00:00,0.4,H,6,6b,Boreal Shield East,Bouclier bordal
370616,QC,20201080404,45.6721,-73.1406,2020,6,17,2020-06-17 00:00:00,2020-06-17 00:00:00,1.8,H,8,8,MixedWood Plain,Plaines d forits mixtes
370617,QC,20201080405,46.3356,-73.2192,2020,6,17,2020-06-17 00:00:00,2020-06-17 00:00:00,0.0,H,6,6b,Boreal Shield East,Bouclier bordal
370618,QC,20201080406,46.4794,-72.8161,2020,6,17,2020-06-17 00:00:00,2020-06-18 00:00:00,1.0,H,8,8,MixedWood Plain,Plaines d forits mixtes
370619,QC,20201080407,47.1048,-76.214,2020,6,17,2020-06-17 00:00:00,2020-06-17 00:00:00,0.0,H,6,6b,Boreal Shield East,Bouclier bordal
370620,QC,20201080408,45.4666,-74.06749999999998,2020,6,17,2020-06-17 00:00:00,2020-06-17 00:00:00,0.0,H,8,8,MixedWood Plain,Plaines d forits mixtes
370621,QC,20201080409,46.4815,-72.8163,2020,6,17,2020-06-17 00:00:00,2020-06-17 00:00:00,0.0,H,8,8,MixedWood Plain,Plaines d forits mixtes
370622,QC,20201080410,46.6059,-71.2465,2020,6,17,2020-06-17 00:00:00,2020-06-17 00:00:00,0.1,H,8,8,MixedWood Plain,Plaines d forits mixtes
370623,QC,20201080411,46.9095,-74.0481,2020,6,17,2020-06-17 00:00:00,2020-06-22 00:00:00,5.0,H,6,6b,Boreal Shield East,Bouclier bordal
370624,QC,20201080412,46.0009,-75.796,2020,6,17,2020-06-17 00:00:00,2020-06-21 00:00:00,1.5,H,6,6b,Boreal Shield East,Bouclier bordal
370625,QC,20201080413,47.7893,-72.1742,2020,6,17,2020-06-17 00:00:00,2020-06-17 00:00:00,0.0,H,6,6b,Boreal Shield East,Bouclier bordal
370626,QC,20201080414,48.2402,-75.1093,2020,6,18,2020-06-18 00:00:00,2020-06-22 00:00:00,9.2,H,6,6b,Boreal Shield East,Bouclier bordal
370627,QC,20201080415,45.5612,-75.6243,2020,6,17,2020-06-17 00:00:00,2020-06-18 00:00:00,0.9,H,6,6b,Boreal Shield East,Bouclier bordal
370628,QC,20201080416,46.0513,-73.7085,2020,6,18,2020-06-18 00:00:00,2020-06-18 00:00:00,0.1,H,6,6b,Boreal Shield East,Bouclier bordal
370629,QC,20201080417,45.563,-75.6793,2020,6,18,2020-06-18 00:00:00,2020-06-18 00:00:00,0.0,H,6,6b,Boreal Shield East,Bouclier bordal
370630,QC,20201080418,45.9029,-74.1513,2020,6,18,2020-06-18 00:00:00,2020-06-19 00:00:00,0.1,H,6,6b,Boreal Shield East,Bouclier bordal
370631,QC,20201080419,46.6353,-73.20539999999998,2020,6,18,2020-06-18 00:00:00,2020-06-18 00:00:00,0.0,H,6,6b,Boreal Shield East,Bouclier bordal
370632,QC,20201080420,46.0063,-73.7215,2020,6,18,2020-06-18 00:00:00,2020-06-18 00:00:00,0.1,H,6,6b,Boreal Shield East,Bouclier bordal
370633,QC,20201080421,48.7796,-65.0706,2020,6,18,2020-06-18 00:00:00,2020-06-18 00:00:00,0.0,H,7,7,Atlantic Maritime,Maritime de l'Atlantique
370634,QC,20201080422,50.7227,-67.0282,2020,6,18,2020-06-18 00:00:00,2020-06-20 00:00:00,0.1,L,6,6b,Boreal Shield East,Bouclier bordal
370635,QC,20201080423,45.7867,-75.09749999999998,2020,6,19,2020-06-19 00:00:00,2020-06-19 00:00:00,0.0,H,6,6b,Boreal Shield East,Bouclier bordal
370636,QC,20201080424,47.5973,-71.0948,2020,6,18,2020-06-18 00:00:00,2020-06-18 00:00:00,0.0,H,6,6b,Boreal Shield East,Bouclier bordal
370637,QC,20201080425,48.6736,-78.0009,2020,6,18,2020-06-18 00:00:00,2020-06-19 00:00:00,0.0,H,6,6b,Boreal Shield East,Bouclier bordal
370638,QC,20201080426,46.8538,-74.1761,2020,6,19,2020-06-19 00:00:00,2020-06-19 00:00:00,0.0,H,6,6b,Boreal Shield East,Bouclier bordal
